# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 0)               |  __probe_kernel_read() {
 0)   1.182 us    |                  of_prop_next_string();
 0)   1.261 us    |                  of_prop_next_string();
 0)   8.693 us    |                }
 0)   1.195 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.376 us    |                  __of_find_property();
 0)   1.145 us    |                  of_prop_next_string();
 0)   1.255 us    |                  of_prop_next_string();
 0)   8.420 us    |                }
 0)   1.184 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.239 us    |                  __of_find_property();
 0)   1.145 us    |                  of_prop_next_string();
 0)   1.255 us    |                  of_prop_next_string();
 0)   8.419 us    |                }
 0)   1.188 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.269 us    |                  __of_find_property();
 0)   1.165 us    |                  of_prop_next_string();
 0)   1.524 us    |                  of_prop_next_string();
 0)   8.705 us    |                }
 0)   1.212 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.415 us    |                  __of_find_property();
 0)   1.335 us    |                  of_prop_next_string();
 0)   1.284 us    |                  of_prop_next_string();
 0)   8.891 us    |                }
 0)               |                __of_device_is_compatible() {
 0)   1.356 us    |                  __of_find_property();
 0)   1.145 us    |                  of_prop_next_string();
 0)   1.401 us    |                  of_prop_next_string();
 0)   1.202 us    |                  of_prop_next_string();
 0) + 10.965 us   |                }
 0)   1.177 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.525 us    |                  __of_find_property();
 0)   1.156 us    |                  of_prop_next_string();
 0)   1.258 us    |                  of_prop_next_string();
 0)   1.298 us    |                  of_prop_next_string();
 0) + 11.080 us   |                }
 0)   1.175 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.406 us    |                  __of_find_property();
 0)   1.192 us    |                  of_prop_next_string();
 0)   1.292 us    |                  of_prop_next_string();
 0)   8.597 us    |                }
 0)               |                __of_device_is_compatible() {
 0)   1.482 us    |                  __of_find_property();
 0)   1.157 us    |                  of_prop_next_string();
 0)   1.273 us    |                  of_prop_next_string();
 0)   8.721 us    |                }
 0)   1.325 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.387 us    |                  __of_find_property();
 0)   1.251 us    |                  of_prop_next_string();
 0)   1.255 us    |                  of_prop_next_string();
 0)   8.722 us    |                }
 0)   1.187 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.275 us    |                  __of_find_property();
 0)   1.182 us    |                  of_prop_next_string();
 0)   1.292 us    |                  of_prop_next_string();
 0)   8.450 us    |                }
 0)   1.303 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.239 us    |                  __of_find_property();
 0)   1.160 us    |                  of_prop_next_string();
 0)   1.225 us    |                  of_prop_next_string();
 0)   8.492 us    |                }
 0)   1.187 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.364 us    |                  __of_find_property();
 0)   1.171 us    |                  of_prop_next_string();
 0)   1.249 us    |                  of_prop_next_string();
 0)   8.680 us    |                }
 0)               |                __of_device_is_compatible() {
 0)   1.472 us    |                  __of_find_property();
 0)   1.257 us    |                  of_prop_next_string();
 0)   1.490 us    |                  of_prop_next_string();
 0)   1.222 us    |                  of_prop_next_string();
 0) + 11.224 us   |                }
 0)   1.202 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.788 us    |                  __of_find_property();
 0)   1.160 us    |                  of_prop_next_string();
 0)   1.270 us    |                  of_prop_next_string();
 0)   8.929 us    |                }
 0)   1.180 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   2.119 us    |                  __of_find_property();
 0)   1.145 us    |                  of_prop_next_string();
 0)   1.358 us    |                  of_prop_next_string();
 0)   9.397 us    |                }
 0)   1.225 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.643 us    |                  __of_find_property();
 0)   1.307 us    |                  of_prop_next_string();
 0)   2.275 us    |                  of_prop_next_string();
 0) + 10.054 us   |                }
 0)   1.211 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.915 us    |                  __of_find_property();
 0)   1.171 us    |                  of_prop_next_string();
 0)   1.471 us    |                  of_prop_next_string();
 0)   9.133 us    |                }
 0)   1.179 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.662 us    |                  __of_find_property();
 0)   1.164 us    |                  of_prop_next_string();
 0)   1.255 us    |                  of_prop_next_string();
 0)   9.235 us    |                }
 0)   1.188 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   2.270 us    |                  __of_find_property();
 0)   1.145 us    |                  of_prop_next_string();
 0)   1.255 us    |                  of_prop_next_string();
 0)   9.456 us    |                }
 0)   1.207 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.637 us    |                  __of_find_property();
 0)   1.259 us    |                  of_prop_next_string();
 0)   1.255 us    |                  of_prop_next_string();
 0)   8.903 us    |                }
 0)   1.189 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.905 us    |                  __of_find_property();
